project,version_number,version,purpose,number_files,number_defects
camel,0,camel-1.6.0,training,1987,142
camel,1,camel-2.0-M1,training,2397,186
camel,2,camel-1.6.1,training,2075,109
camel,3,camel-2.0.0,training,3127,268
camel,4,camel-2.4.0,testing,4951,250
hadoop,0,release-0.23.0,training,3790,264
hadoop,1,release-2.1.0-beta,training,4662,219
hadoop,2,release-2.1.1-beta-rc0,training,4701,560
hadoop,3,release-2.2.0,training,4710,722
hadoop,4,release-0.23.10,testing,3920,134
flink,0,release-0.7.0,training,2051,217
flink,1,release-0.8.1,training,2183,282
flink,2,release-0.9.0,training,2746,222
flink,3,release-1.0.3,training,3218,325
flink,4,release-1.3.2-rc3,testing,4988,441
kafka,0,0.10.2.1-rc3,training,1074,176
kafka,1,0.11.0.2-rc0,training,1314,252
kafka,2,2.0.0-rc3,training,1837,350
kafka,3,2.3.0-rc3,training,2130,368
kafka,4,2.4.0-rc4,testing,2381,407
openmeetings,0,3.1.1RC1,training,509,99
openmeetings,1,3.1.3RC3,training,529,87
openmeetings,2,3.3.2RC1,training,585,96
openmeetings,3,4.0.0RC2,training,588,66
openmeetings,4,4.0.2,testing,591,65
karaf,0,karaf-2.1.2,training,357,20
karaf,1,karaf-2.2.5,training,469,46
karaf,2,karaf-4.0.9,training,1195,100
karaf,3,karaf-4.2.6,training,1502,88
karaf,4,karaf-4.2.7,testing,1509,101
hbase,0,0.89.20100924RC1,training,564,101
hbase,1,0.90.3mvn,training,641,92
hbase,2,0.90.4.mvn,training,1292,210
hbase,3,0.92.0mvn7,training,1772,528
hbase,4,2.1.10RC1,testing,3828,451
uima-ruta,0,ruta-2.2.1,training,1165,61
uima-ruta,1,ruta-2.3.0,training,1203,60
uima-ruta,2,ruta-2.6.1,training,1224,106
uima-ruta,3,ruta-2.7.0,training,1235,46
uima-ruta,4,ruta-2.8.0,testing,1249,47
lucene-solr,0,releases/lucene/2.2.0,training,1015,192
lucene-solr,1,releases/lucene/2.4.0,training,958,133
lucene-solr,2,releases/lucene/2.4.1,training,958,163
lucene-solr,3,releases/lucene/2.9.0,training,1368,241
lucene-solr,4,releases/lucene-solr/4.10.4,testing,4973,776
deltaspike,0,deltaspike-project-0.1-incubating,training,107,2
deltaspike,1,deltaspike-project-0.3-incubating,training,449,34
deltaspike,2,deltaspike-project-0.4,training,721,14
deltaspike,3,deltaspike-project-0.5,training,985,57
deltaspike,4,deltaspike-project-0.6,testing,1188,21
jackrabbit-oak,0,jackrabbit-oak-0.1,training,331,81
jackrabbit-oak,1,jackrabbit-oak-0.4,training,559,94
jackrabbit-oak,2,jackrabbit-oak-0.5,training,710,186
jackrabbit-oak,3,jackrabbit-oak-0.6,training,1012,121
jackrabbit-oak,4,jackrabbit-oak-0.8,testing,1112,168
pulsar,0,v1.18,training,686,2
pulsar,1,v1.21.0-incubating-candidate-3,training,757,3
pulsar,2,v2.2.0-candidate-2,training,1433,26
pulsar,3,v2.4.0,training,1973,11
pulsar,4,v2.4.1-candidate-1,testing,1989,9
ofbiz,0,REL-4.0,training,988,28
ofbiz,1,REL-09.04.01,training,1122,56
ofbiz,2,REL-09.04.02,training,1122,35
ofbiz,3,REL-12.04.01,training,1425,35
ofbiz,4,REL-13.07.01,testing,1163,150
cayenne,0,4.0.M2,training,2968,282
cayenne,1,4.0.M4,training,3274,518
cayenne,2,4.0.M5,training,3406,247
cayenne,3,4.0,training,3566,123
cayenne,4,4.1.B2,testing,3740,139
commons-codec,0,CODEC_1_4_RC4,training,56,13
commons-codec,1,1_6,training,86,18
commons-codec,2,1.9,training,109,25
commons-codec,3,1.10-RC2,training,115,18
commons-codec,4,commons-codec-1.11,testing,124,20
parquet-mr,0,parquet-1.1.2,training,314,43
parquet-mr,1,parquet-1.2.10,training,366,107
parquet-mr,2,parquet-1.3.2,training,388,68
parquet-mr,3,parquet-1.8.0rc1,training,556,70
parquet-mr,4,apache-parquet-1.8.1,testing,571,101
kylin,0,v0.6.2,training,523,128
kylin,1,v0.6.4,training,539,55
kylin,2,kylin-0.7.1-incubating,training,640,97
kylin,3,kylin-1.6.0-cdh5.7,training,997,177
kylin,4,kylin-2.3.2,testing,1391,223
hive,0,release-0.9.0,training,1326,300
hive,1,release-0.10.0,training,1461,217
hive,2,release-0.11.0,training,2111,543
hive,3,release-0.12.0,training,2526,580
hive,4,release-0.13.1,testing,3231,880
commons-validator,0,VALIDATOR_1_4_1_RC1,training,135,8
commons-validator,1,VALIDATOR_1_4_1_RC2,training,135,10
commons-validator,2,VALIDATOR_1_4_1,training,135,17
commons-validator,3,VALIDATOR_1_5_0,training,141,6
commons-validator,4,VALIDATOR_1_5_1,testing,141,8
maven-surefire,0,surefire-2.3,training,111,24
maven-surefire,1,surefire-2.4.3,training,206,48
maven-surefire,2,surefire-2.7.1,training,349,58
maven-surefire,3,surefire-2.17_vote-1,training,804,151
maven-surefire,4,surefire-2.18.1,testing,862,87
syncope,0,syncope-1.0.5,training,552,90
syncope,1,syncope-1.1.4,training,748,105
syncope,2,syncope-1.1.5,training,761,111
syncope,3,syncope-1.1.8,training,763,181
syncope,4,syncope-2.0.4,testing,1945,463
commons-math,0,MATH_2_1,training,675,95
commons-math,1,MATH_2_2,training,758,47
commons-math,2,MATH_3_0,training,970,43
commons-math,3,MATH_3_2,training,1254,96
commons-math,4,MATH_3_3,testing,1467,63
tomcat,0,7.0.0-RC1,training,1535,2
tomcat,1,7.0.15,training,1394,6
tomcat,2,7.0.21,training,1405,4
tomcat,3,7.0.41,training,1617,4
tomcat,4,7.0.57,testing,1775,2
atlas,0,release-0.7-rc2,training,471,152
atlas,1,release-0.7.1-rc3,training,490,83
atlas,2,release-0.8-rc1,training,775,98
atlas,3,release-0.8.1-rc1,training,809,171
atlas,4,release-0.8.2-rc0,testing,841,101
struts,0,STRUTS_2_0_2,training,772,60
struts,1,STRUTS_2_0_6,training,756,62
struts,2,STRUTS_2_0_8,training,762,71
struts,3,STRUTS_2_1_0,training,837,123
struts,4,STRUTS_2_1_6,testing,1035,104
tika,0,0.7,training,213,31
tika,1,0.9,training,299,84
tika,2,1.0,training,392,51
tika,3,1.7,training,552,95
tika,4,1.14-rc1,testing,835,89
servicecomb-java-chassis,0,0.1.0-m2,training,966,516
servicecomb-java-chassis,1,0.2.0,training,1110,70
servicecomb-java-chassis,2,0.3.0,training,1192,37
