dataset,feature_selection,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max
Designite,all,0.09921436805460883,0.10766961651917403,0.3860262008733623,0.4017467248908297,0.15764068460027741,0.16097023153252482,0.6037717517232829,0.6084820580975888,0.19953557103652103,0.20477095207937512
Designite,chi2_20p,0.1079088823336611,0.10814814814814816,0.3187772925764193,0.31877729257641924,0.1612373281556429,0.16150442477876106,0.5924520890566212,0.5926184599528059,0.16033354443740763,0.16065020054887058
Designite,chi2_50p,0.10035118637958304,0.10925644916540213,0.3790393013100436,0.4061135371179039,0.15793940192993722,0.16216216216216214,0.6024078494127858,0.6070053044950655,0.19582013932868908,0.212370698754486
Designite,f_classif_20,0.1079088823336611,0.10814814814814816,0.3187772925764193,0.31877729257641924,0.1612373281556429,0.16150442477876106,0.5924520890566212,0.5926184599528059,0.16033354443740763,0.16065020054887058
Designite,f_classif_50,0.09768291198451177,0.10766961651917403,0.39737991266375544,0.4061135371179039,0.15653333065645264,0.16097023153252482,0.6051340557107597,0.6066725627026964,0.20719864893392445,0.2125818028287946
Designite,mutual_info_classif_20p,0.11770562200037342,0.11774461028192372,0.31004366812227074,0.31004366812227074,0.1706320989934435,0.17067307692307693,0.5959934400948532,0.5960156228810111,0.1457040320878193,0.1458729153472662
Designite,mutual_info_classif_50p,0.10462997896048173,0.11027190332326284,0.35545851528384287,0.4104803493449782,0.16073855345337318,0.16386083052749725,0.5995349364351779,0.6085232270238645,0.1799873337555415,0.2125818028287946
Designite,recursive_elimination,0.11716575762306299,0.13552361396303902,0.32707423580786027,0.3842794759825328,0.17107357216669963,0.1843575418994413,0.599550871231348,0.6116162242379389,0.15431707831961156,0.1830272324255858
Designite + Fowler,all,0.16236295134012607,0.17206982543640895,0.6605504587155963,0.8715596330275229,0.2596740898904183,0.2759740259740259,0.7718738474482504,0.8555348416393895,0.1241724870938354,0.15942909201336167
Designite + Fowler,chi2_20p,0.19092943715260996,0.1932367149758454,0.7495412844036696,0.7798165137614679,0.3042950514865866,0.30852994555353896,0.8204050643123877,0.8338466990917892,0.11342241117522014,0.11782569085939873
Designite + Fowler,chi2_50p,0.15591738808388655,0.17131474103585656,0.6761467889908258,0.8073394495412844,0.25323771971047915,0.28150572831423903,0.7756519120833525,0.8334750011525518,0.13143030671120556,0.14211964773762525
Designite + Fowler,f_classif_20,0.18994401076443707,0.19230769230769232,0.738532110091743,0.7798165137614679,0.30210368709187063,0.30852994555353896,0.8153715826840626,0.8338466990917892,0.11287579714546006,0.11782569085939873
Designite + Fowler,f_classif_50,0.17777402942903206,0.18414322250639387,0.6743119266055047,0.7798165137614679,0.28110789205802333,0.29513888888888884,0.7837482999861694,0.8299208196948042,0.11406012754327363,0.12450652900091105
Designite + Fowler,mutual_info_classif_20p,0.18083792018331513,0.19483568075117366,0.6908256880733946,0.7798165137614679,0.2865709042916768,0.3102803738317757,0.7919580701673506,0.8325904176847541,0.11360461585180685,0.11812936532037654
Designite + Fowler,mutual_info_classif_50p,0.17235169377003207,0.20199501246882792,0.6743119266055045,0.7981651376146789,0.2741272363617564,0.3176470588235294,0.7816126215942096,0.8281026693098519,0.1181901002125721,0.14394169450349226
Designite + Fowler,recursive_elimination,0.16012278123986592,0.17317073170731706,0.6504587155963303,0.8715596330275229,0.25607366349315586,0.27360308285163776,0.7665453125720346,0.857262228574063,0.1250531430306711,0.15608867294260553
Fowler,all,0.16092802115580257,0.16666666666666666,0.7271317829457363,0.8372093023255814,0.2634566459793811,0.2769230769230769,0.7933647420475809,0.8405874097834805,0.14513715710723193,0.15627597672485452
Fowler,chi2_20p,0.222332506203474,0.22332506203473945,0.6976744186046513,0.6976744186046512,0.33720537298301934,0.3383458646616541,0.8036073242448543,0.8038659449345095,0.09803269603768355,0.09808811305070657
Fowler,chi2_50p,0.2204959860284576,0.2255639097744361,0.6759689922480622,0.7054263565891473,0.33248792609761035,0.3409090909090909,0.7937028869286287,0.8064488104784816,0.09697977279024661,0.09975062344139653
Fowler,f_classif_20,0.22169301779420142,0.22332506203473945,0.6976744186046513,0.6976744186046512,0.336464540781513,0.3383458646616541,0.8034349104517509,0.8038659449345095,0.09836519811582155,0.10141313383208644
Fowler,f_classif_50,0.2221719167157472,0.2253164556962025,0.6612403100775195,0.7054263565891473,0.33251086113021666,0.33969465648854963,0.787717856188185,0.8070235231221597,0.09484621778886118,0.09864228318093654
Fowler,mutual_info_classif_20p,0.2233250620347395,0.22332506203473945,0.6976744186046513,0.6976744186046512,0.3383458646616541,0.3383458646616541,0.8038659449345096,0.8038659449345095,0.09753394292047657,0.09753394292047657
Fowler,mutual_info_classif_50p,0.2213137630807355,0.22332506203473945,0.6806201550387598,0.6976744186046512,0.33400039832283057,0.3383458646616541,0.7959278936113338,0.8038659449345095,0.0970074812967581,0.09836519811582156
Fowler,recursive_elimination,0.15935764708669722,0.16611842105263158,0.7263565891472867,0.8372093023255814,0.26127946797175383,0.2762148337595908,0.7922300187115745,0.8403000534616414,0.1466057079523414,0.1568301468550845
Traditional,all,0.08614358917441196,0.15883668903803133,0.528169014084507,0.7535211267605634,0.1431891186225312,0.2410865874363328,0.5847123522622839,0.6786798179059179,0.364524838012959,0.6972642188624909
Traditional,chi2_20p,0.09181905015120535,0.14342629482071714,0.5545774647887324,0.6725352112676056,0.1528365157154089,0.2194148936170213,0.5862322073564299,0.7053273739554169,0.3853491720662347,0.7690784737221023
Traditional,chi2_50p,0.08515321101642982,0.13959390862944165,0.6228873239436619,0.8591549295774648,0.14640316824586916,0.2251023192360164,0.5995032219111329,0.6940399987176473,0.42149028077753775,0.7521598272138229
Traditional,f_classif_20,0.09190062953108274,0.1391705069124424,0.5774647887323943,0.7852112676056338,0.15375288545707633,0.2205989773557341,0.597609480860886,0.6925946803735921,0.38430525557955364,0.7240820734341252
Traditional,f_classif_50,0.09599125608462422,0.1597222222222222,0.5461267605633802,0.8133802816901409,0.15483541039031368,0.2404181184668989,0.5920220297505825,0.7076382803650431,0.36677465802735787,0.7179625629949604
Traditional,mutual_info_classif_20p,0.09051001971998045,0.13873873873873874,0.5992957746478874,0.8063380281690141,0.15311855392902965,0.22094691535150648,0.6019809677488299,0.6977574857338263,0.3956083513318935,0.7150827933765299
Traditional,mutual_info_classif_50p,0.09089930152618658,0.1464354527938343,0.5549295774647888,0.8028169014084507,0.1500649999269672,0.22995461422087746,0.5842079602043216,0.6852371818162389,0.3895068394528437,0.8099352051835853
Traditional,recursive_elimination,0.08286070111659397,0.1485981308411215,0.5161971830985916,0.8239436619718309,0.1385770657400657,0.2348596750369276,0.5804525369210711,0.693529729209857,0.3618610511159107,0.7311015118790497
Traditional + Designite,all,0.098516948303048,0.15170670037926676,0.4982532751091703,0.7510917030567685,0.15136905038081894,0.2352941176470588,0.5816687848482853,0.6875854860645607,0.34298078952923794,0.746675110829639
Traditional + Designite,chi2_20p,0.09371674522855472,0.16530278232405893,0.5567685589519652,0.6724890829694323,0.15412922200338064,0.24047619047619045,0.5885218127501617,0.7000456248571195,0.3827950179438463,0.7690521427063542
Traditional + Designite,chi2_50p,0.08520212516460962,0.14316469321851452,0.5641921397379912,0.8384279475982532,0.14355936663726207,0.229706390328152,0.5916013937376736,0.7021055241918297,0.3836394342410808,0.7276757441418621
Traditional + Designite,f_classif_20,0.07939694347335413,0.11862835959221503,0.5777292576419213,0.7772925764192141,0.13647048460187566,0.19571865443425074,0.5893970156887512,0.6791463405183604,0.40006333122229265,0.7397086763774541
