project,feature_selection,metrics_configuration,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max,original_num_files_per_version,original_num_defective_files_per_version,original_training_num_files,original_testing_num_files,original_training_num_defective_files,original_testing_num_defective_files,num_training_files,num_testing_files,num_training_defective_files,num_testing_defective_files
accumulo,all,Designite,0.2369256344695166,0.2406103286384977,0.2670650730411687,0.27622841965471445,0.25103715826277434,0.25710754017305315,0.5363703743584222,0.5394655611787086,0.29365662503061474,0.29586088660298804,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,all,Designite + Fowler,0.17473652865522302,0.18601523980277904,0.8334905660377359,0.9787735849056604,0.2888469892033249,0.3126177024482109,0.6583473902391964,0.7080109015324707,0.4761161325664202,0.4998630512188442,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,all,Fowler,0.18654363853553907,0.19401778496362165,0.8620758483033931,0.9580838323353292,0.3065179066918353,0.3226890756302521,0.6486752702939962,0.6797323995060015,0.5089248434237996,0.5258350730688935,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,all,Traditional,0.2256979894755777,0.3134461264470169,0.5952195121951218,0.7141463414634146,0.3267011240398034,0.43044940385203306,0.5682426990330207,0.6512890423197779,0.4477570464470028,0.5285827709408495,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,all,Traditional + Designite,0.22420710807360708,0.27624309392265195,0.708366533864542,0.7835325365205843,0.3400986951995423,0.4008746355685132,0.5751592429082468,0.6488394769271263,0.5089150134704873,0.5716385011021308,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,all,Traditional + Designite + Fowler,0.20608698839335185,0.2386877828054299,0.7550335570469798,1.0,0.3212059836054273,0.3570219966159052,0.5658666368804305,0.6157123980455159,0.5573684210526315,0.8251461988304094,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,all,Traditional + Fowler,0.2075186104922845,0.2416582406471183,0.6912429378531074,0.8418079096045198,0.3179768204882164,0.3668478260869565,0.5489886862073667,0.6119785497383327,0.5410269709543568,0.6462655601659751,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,chi2_20p,Designite,0.20775193798449604,0.20775193798449607,0.17795484727755648,0.17795484727755645,0.19170243204577966,0.19170243204577966,0.5122506969120515,0.5122506969120515,0.2767572863090865,0.2767572863090865,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,chi2_20p,Designite + Fowler,0.17882326315710834,0.18482576091751213,0.9224056603773584,0.9882075471698112,0.2995076700649951,0.3114083983649201,0.6834680920417936,0.7077697171857733,0.4999726102437688,0.5075321829635716,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,chi2_20p,Fowler,0.18872547669540152,0.19005102040816327,0.8702594810379243,0.8922155688622755,0.31010481623705216,0.31335436382754994,0.6539679272496736,0.6601576193155568,0.505767223382046,0.5112212943632568,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
